# InputPower(W),100.000,InputVoltage(V),10.000,InputCurrent(A),10.000
Time,Power(W),Voltage(V),Current(A)
'2025-11-18 10:41:43,100.000,10.000,10.000
'2025-11-18 10:41:44,100.000,10.000,10.000
'2025-11-18 10:41:45,100.000,10.000,10.000
'2025-11-18 10:41:46,100.000,10.000,10.000
'2025-11-18 10:41:47,100.000,10.000,10.000
'2025-11-18 10:41:48,100.000,10.000,10.000
'2025-11-18 10:41:49,100.000,10.000,10.000
'2025-11-18 10:41:50,1000.000,10.000,100.000
'2025-11-18 10:41:51,1000.000,10.000,100.000
'2025-11-18 10:41:52,1000.000,10.000,100.000
'2025-11-18 10:41:53,1000.000,10.000,100.000
'2025-11-18 10:41:54,1000.000,10.000,100.000
'2025-11-18 10:41:55,1000.000,10.000,100.000
'2025-11-18 10:41:56,1000.000,10.000,100.000
'2025-11-18 10:41:57,1000.000,10.000,100.000
'2025-11-18 10:41:58,1000.000,10.000,100.000
